134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
134.7230594310839; 74.97631347090324, 41.400001476664315; 122.23645765885325, 38.35619620429424; 21.758914318473476, 46.946265572678755; 72.72505358319724, 
